goos: linux
goarch: amd64
pkg: arcoris.dev/pool
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	51687582	        24.33 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	49857786	        28.27 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	49598268	        23.59 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	46273348	        24.40 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-raw-sync-pool-16       	55136529	        36.87 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	23293918	        48.43 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	20797728	        49.72 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	24351921	        49.17 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	22998968	        56.91 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	26303834	        51.81 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	25738062	        72.82 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	20858089	        54.02 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	23315779	        55.28 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	19550962	        56.51 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_ValueBaselines/controlled-arcoris-pool-16        	22078320	        49.48 ns/op	         0 news/op	      48 B/op	       1 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	89154853	        14.48 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	87185744	        14.75 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	81036745	        15.14 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	70305252	        14.81 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	89252781	        14.94 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	86213529	        14.45 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	88176830	        14.44 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	76200345	        13.99 ns/op	         0 news/op	       0 B/op	       0 allocs/op
BenchmarkCompare_LifecyclePaths/controlled-accepted-16            	85092308	        13.74 ns/op	         0 news/op	       0 B/op	       0 allocs/op
